,Id_tweeet,Fecha,User,Tweet
0,1.58977E+18,2022-11-08 00:06:38+00:00,___albxx___,"@naatts__ little more and they cut my head, we talked about her hair and the friend calls me flat and then says she does not get into the body of others"
1,1.58971E+18,2022-11-07 20:03:40+00:00,Madiy2021,"@Iturumburu true, that's why I say that they should be in jail, the entire PSOE flat with González to the head, of those years"
2,1.58971E+18,2022-11-07 19:55:12+00:00,Peladinho_just,"@Adm_cuentachile do not compare it with Junior Playboy. This weon is smaller, more guaton, more headmark and more on top has a flat head, there puts the combined Parisi 😂 https://t.co/uk2cj8rb0v"
3,1.5897E+18,2022-11-07 19:40:11+00:00,ChivaMister,"@Jhonyytravolta having click thermo head of the 7leven, if you read that I wrote between () ""I doubt""?

Annex photo of the thermos so that the flat figure of your head is understood
👇👇👇👇👇 https://t.co/kwchquewba"
4,1.58962E+18,2022-11-07 14:10:21+00:00,Madiy2021,"@betizutik @Natxo20022779 This whole PLAE of the 80s, committed crimes, everyone should be in jail, and Isidoro the first. Yolanda, praising him, or does not know what they did, or his head goes"
5,1.58951E+18,2022-11-07 06:42:24+00:00,AlmaMater72,"@Santi_abascal Climate change does not exist, covid is the result of a ""plandemia"", the earth is flat and my square head. The only true thing is the latest, the rest is the consequence."
6,1.58944E+18,2022-11-07 02:14:20+00:00,dAlbaC93,"@Alemanapte The intellectual level of a flat head of those does not give anything else, but it is better to take these things very seriously, because what he writes to you is not of someone friendly"
7,1.58939E+18,2022-11-06 23:10:34+00:00,_vont_a,"@kueyar95 @danielsotoc @biobio are not owners of anything, they repeat ""anti vaccines, conspiracy, denial, with the crutch of"" the earth is flat and man did not reach the moon "".
They studied years to write stupidities, they are more lost than louse at the head of Pelado.
They are financed or are lousy professionals."
8,1.58938E+18,2022-11-06 22:14:40+00:00,haize_m,"I have been stuck to the reflection of the journalist Xosé Manuel Pereiro (@sihomesi) and that I am sure that someone went through the head:
""Move it as much as possible and maybe if the earth is flat that falls through the edge.""
#SalvadosPretige"
9,1.58938E+18,2022-11-06 22:07:51+00:00,alejandromh91,"I mean, I have fallen on my back and everything, on a more or less flat rock, I could have broken some ribs, an arm or leg (the head not because I wore a helmet)."
10,1.58935E+18,2022-11-06 20:24:51+00:00,gusjauregui,"@Cero_etica @cuauhtemoc_1521 @lopezrosmberg @historia_regia @fdelatg @DavidPallalesm @beltrandelrio @RMBARACS @Diegosinhue @SeniDuque @orlandogotay @kurtbravo It is possible, however it can be the effect of the Shakos, they are shades that are hacs that, some are hacs that, some are shaded.
As they do not distinguish themselves are flat."
11,1.58931E+18,2022-11-06 17:28:47+00:00,Amabilemartinn,Maxi has a flat head #Granhermano https://t.co/hafycpgqxt
12,1.58928E+18,2022-11-06 15:31:19+00:00,gusjauregui,"@Cuauhtemoc_1521 @lopezrosmberg @historia_regia @fdelatg @DavidPallalesm @beltrandelrio @RMBARACS @Diegosinhue @SeniDuque @orlandogotay @kurtbravo hardly if the Shakos can be seen, it seems that the sitting man, he has his head flat, because he is no longer distinguished.
The boots of the sitting, seem to be polanas or not?
The phenotype of these soldiers is clearly native to Mexico, was there cam?"
13,1.5892E+18,2022-11-06 10:22:31+00:00,jahim10235778,@Ibramgount6 ​​And the earth is flat as your head 🤣🤣
14,1.58918E+18,2022-11-06 08:54:25+00:00,Francis97116042,"@Muzeriqui is flat because I never feel inclined or head down.
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣"
15,1.58914E+18,2022-11-06 05:58:53+00:00,FranFrankFrank,And that flat head is already bolus or that whores
16,1.5891E+18,2022-11-06 03:27:09+00:00,Steven_Aviila,@gabyavarez17 @dayana_alvarez3 there flat the head have been
17,1.58904E+18,2022-11-05 23:30:01+00:00,mcmlxixnoel,"@Futurovegetal the next time better with a tips of 20 × 100 mm, of steel and flat head ... like that you will avoid the solvent .. https://t.co/oujumtpzgv"
18,1.58901E+18,2022-11-05 21:58:36+00:00,missgaladriel85,"@Rubiu5 The belly flat in front of me has confused me ... and the shape of the head by the helmets will surely no longer be used in the future, we chepa already have it from when we went to the school of little ones with 10kg of books in the backpack 😂"
19,1.58892E+18,2022-11-05 15:30:45+00:00,Miangel01MARGA,"@tarfran at the same distance. AI works fine.
A few hours after a flat gray curtain on your head, which covers the sun, dries the atmosphere and prevents the natural Albedo effect.
It is the new form of fucking. And good ."
20,1.58889E+18,2022-11-05 14:00:43+00:00,AragornOnFire,"I do not say it as well as to drop it ... it would really be exciting to know how someone who the earth is flat put in the head. Even being able to see that the moon is round.

Look at the images ... There are people who have convinced the earth is flat !! https://t.co/t48hl9SO05"
21,1.58889E+18,2022-11-05 13:51:44+00:00,JulianitaSj,"Each head is a world and some have it spherical, other squares and some flat! Where does the brain be unreasonable? https://t.co/z9ubztndjq"
22,1.58888E+18,2022-11-05 13:23:23+00:00,drddasso,"@Giuseppedcm28 @Joseluisnuezga9 @gronedson2 if there had been no injustices should not have arrived at the TAs. Max. d justice that amended the flat 2 years in a row to @tufpf
Here there is not that aberration that is in your head d: ""Cry the tas"", when what is sought is justice. If they acted before they did not go to the final❌"
23,1.58888E+18,2022-11-05 12:49:25+00:00,RetroCabeza,@Gritidos @Syrturo3 @tailsnic_retro backwards is more practical. A gun that works with any flat TV or projector. The synden is very tempting. I suspect that they are the guns that will carry the arcade1Up. https://t.co/72q85vgrio
24,1.58886E+18,2022-11-05 11:32:31+00:00,Estefan64492304,"@Rancanofernando @McDonaldTrumpf @anasaavedra31 And is the earth flat? Hahahahaha as you are from the head, my ma."
25,1.58884E+18,2022-11-05 10:31:42+00:00,RebornKennedy,"The earth is flat

The pharmaceutical industry does not want to cure you

TV eats your head

My wife is a giving"
26,1.58874E+18,2022-11-05 04:01:43+00:00,jakezluv,@Hannieboobs Poor Poor Safe Highes his head D Be on a flat surface
27,1.58871E+18,2022-11-05 01:46:32+00:00,ivan35515317,@Cabrerar @e_souls27 do not tell me you use a hat on the head so that the aliens do not scratch? And is the earth flat?
28,1.58869E+18,2022-11-05 00:16:07+00:00,pacodiazn,"@Wen_mx in what I noticed, it was in my head. One has an inclined face and with little hair. The other has a flat forehead and with enough hair. (One more pediment than the other). Checal them ..."
29,1.58864E+18,2022-11-04 21:06:49+00:00,Linguistamamado,"@Hyunjinisto what are you going to know about linguistics?

Let's see tell me because he is not valid speaking from linguistics and not from your flat head."
30,1.58864E+18,2022-11-04 21:00:01+00:00,Linguistamamado,"@Hyunjinisto Elle is stupid only for flat heads
What do you think your opinion is absolute and you don't feel a mothers.

Hahahahahahaha https://t.co/r1d4rjpywc"
31,1.58864E+18,2022-11-04 20:58:34+00:00,Linguistamamado,"@Hyunjinisto hahahahaha
Who imagines that someone is crying just because they can't argue their personal opinion full of ""sarcasm""?

Obviously Captain Peie de @Hyunjinisto, aka Matías the flat head"
