,Id_tweeet,Fecha,User,Tweet
0,1.58961E+18,2022-11-07 13:37:18+00:00,JorgeOrgon777,"@politonno @alego20_Sc5 @lopruban @condetruku @imsharingViews When I said that it is by perspective and atmospheric refraction they must silence terraglobistas .. Over there the object is already hidden from its bottom. Spot. Whatever reason, look like this plane.

Do you want to win an argument or find the truth? Decide.

There is no curvature. https://t.co/navg7igjsl"
1,1.58949E+18,2022-11-07 05:21:45+00:00,Angel_Corona,"@Okboome47954016 @ayec98_2 @antoniodelamaq1 The truth is that not all negiciars are embankment
Not all embankments are negligible.
There is everything, and the same torraglobistas."
2,1.58932E+18,2022-11-06 18:22:07+00:00,JorgeOrgon777,"@Alego20_Sc5 @politonno @condetruku @imsharingViews Hello allego, they seek to win the debate in seeing truth:

1) Eratostenes: Sun Not immense.
2) Water level.
3) Vilding point and atmospheric refraction.

The problem is not to find the truth, the problem is to accept the truth: these embankbound have cognitive dissonance. https://t.co/GTDDPEG5E9"
3,1.58875E+18,2022-11-05 04:40:36+00:00,JorgeOrgon777,"@ImsharingViews @politonno @alego20_Sc5 something that embankbursts/terrageoidists will never get:

A single experiment made by themselves to support their model."
4,1.58846E+18,2022-11-04 09:19:24+00:00,kuchumpos,"@Alego20_sc5 according to the embankbounds, the earth is round because the planets are round .... hahahaha ... P does not imply that"
5,1.5878E+18,2022-11-02 13:45:18+00:00,MARIAJO14190707,"@Brunobernartt @jairmearrependi logical! You're right! Here in the flat land there was no pandemic, it is all the invention of the stoners of Forodesan Papaulo, mancled with Billgates, Papa, UN, and Etdevarginha. Go to Cuba Terraglobists!"
6,1.58691E+18,2022-10-31 02:31:39+00:00,Alego20_sc5,"Terraglobistas will never recognize the truth, even if it is too evident. https://t.co/myvyqfhiql"
7,1.58668E+18,2022-10-30 11:06:19+00:00,rogelio66332211,@ayec98_2 @alexandrajalva4 @Carlosindreams @brunomeyercl @eugenbenno The Coriolis effect repeat it as a mantra the embankbound to demonstrate that the earth revolves on itself.
8,1.58649E+18,2022-10-29 22:33:53+00:00,JorgeOrgon777,"@Alego20_sc5 @politonno trusting a map of the flat earth we would be as dumb as the embankbound who trust in maps that others give them ...

To the experiments I limit myself. Which this fan of the rockets and Buzz Light Year has no experiment. https://t.co/6O0PO0MP3D"
9,1.58646E+18,2022-10-29 21:07:09+00:00,rogelio66332211,"@Alexandrajalva4 @okboome47954016 It is really incredible how this is not studied at school, and I no longer tell you at the university. And the fattest thing is that anyone can check it. And you have to endure the embankment pussies on the Coriolis effect, it is traca."
10,1.58642E+18,2022-10-29 18:11:54+00:00,JorgeOrgon777,"@politonno @alego20_sc5 hallucinar? Let's see tragacionasita, tell me a single scientific method (experiment) that you have done yourself to check the embankment where you think you live ...

Only one!

How do you check your embankment beliefs tell me. https://t.co/4guoqkoe7f"
11,1.58576E+18,2022-10-27 22:12:17+00:00,jfbaezv,"@Estoyavisando ""Los Terraglobistas"" 🤣🤣🤣🤣"
12,1.58568E+18,2022-10-27 17:08:01+00:00,EugenesioN,@fjosemarquez @estoyaviso how hard the awakening will be ... when the embankbound see that there is nothing on the other side than the wrath of God for all fools
13,1.58565E+18,2022-10-27 15:19:58+00:00,de_encapetados,@Correio The reptilians of the New World Order have hacked the TSE app and are hypnotizing people making them believe that the earth is a globe and also exchanged number 22 for 13 at the polls! Below Terraglobists! Day 30/10 is Bolsonaro number 13 !!
14,1.58214E+18,2022-10-17 22:44:28+00:00,hidelgardoy,"@Alego20_Sc5 @bolsondildo @arritzola7 @Paulagms @Paner_Capi @Aloha79000 and for Lasers In the water a nonsense have already been invented to ""explain it"" ... but tmb There are videos of lasers in very very flat places north of the USA and southern Canada With lasers videos crossing km and more km on earth ... and they will not accept the magical embankments"
15,1.58173E+18,2022-10-16 19:19:41+00:00,Alego20_sc5,"The Foucault pendulum as a level tool. 😎😉😂

* Terraglobista (Lameboles) exploits the head.* https://t.co/ccqxe3chr2"
16,1.58017E+18,2022-10-12 12:21:52+00:00,JMdezOficial,@Schwarzembm Terraglobists 1-Terraplanists 0. 😁
17,1.57988E+18,2022-10-11 17:07:25+00:00,PaulaGMSS,"@hidelgardoy @Paner_Capi @alego20_Sc5 @aloha79000 In any case, demonstrate that something would fall from the surface, let's call it “lower” in a way in which you do not believe is an oxymoron. And if the flat earth were so easily demonstrable there would be no ""embankbound."""
18,1.57955E+18,2022-10-10 19:17:14+00:00,Llort37379701,"@Alego20_Sc5 or block you when they realize that they have no arguments to refute ..... They laugh, insult, despise and block.
That is the modus operandis of the Terraglobistas"
19,1.57952E+18,2022-10-10 17:19:16+00:00,kosmoflauta,@Estoyaviso Jaque Mate Terraglobistas
20,1.57951E+18,2022-10-10 16:44:14+00:00,ayo_sm,"@Estoyavisando there they have caught you, embankbound!;"
21,1.57876E+18,2022-10-08 15:09:31+00:00,__Trukers__,"Greetings dear dissent, go through and fuck your piece. ESSENTIBLE 1st of Chemtrail, school graduate in CGI and basic astrology for this coffee talk.
Terraglobistas are welcome. https://t.co/rj96lahdsr"
22,1.5772E+18,2022-10-04 07:36:54+00:00,TerraAnti,"@mr_santino_555 @beatrizatalegon @diario_16 Globalists, terraglobists, provecunas, lens, ucranazis = lambs"
23,1.57587E+18,2022-09-30 15:43:21+00:00,P3dr0B3rr,Pure 💯 Cía What Terraglobistas? ☝🏻 https://t.co/8r3ro9v0ha
24,1.5758E+18,2022-09-30 10:37:24+00:00,Incgnit05988228,@Estoyavisando It is funny to see what the argument presents it as something irrefutable that would leave the embers crying. Surely it is thought that he is the smallest person in the world haha
25,1.57339E+18,2022-09-23 18:54:14+00:00,B612_murzuq,"@Estoyaviso stretched in bed I see my feet, if the earth was not flat I would not see them 😅 Jaque mate embankbound!"
26,1.5727E+18,2022-09-21 21:42:19+00:00,RubenAniorte,"@Estoyavisando ""Terraglobistas"". Go, they have named us. What monkeys!"
27,1.57261E+18,2022-09-21 15:53:23+00:00,Reik_warhammer,"@Estoyaviso I keep the title, they have had to call other embankments, because when putting a name it seems that the shifts are equalized. No one is called Terraglobist as they would not be called serious because they are followers of gravity"
28,1.57232E+18,2022-09-20 20:04:45+00:00,orbarro,"@EstoyAvisando ""Terraglobistas."""
29,1.5723E+18,2022-09-20 18:57:10+00:00,RETRATOMETRO,@Stoyaviso the tubers are we the rest? This debate is even more dumb than the Debate Messi vs Cristiano ...
30,1.57185E+18,2022-09-19 13:14:44+00:00,german79067925,"@Camaradacandado in the stock market is where you must invest and eat the world with a shark mentality, is that here you complain why you want to live as a queen at the expense of others, not as the true king who saved us from Franco, Hitler, Aliens, Aliens , of the man of the sack and dirty embarraglobistas"
31,1.57142E+18,2022-09-18 08:39:57+00:00,rogelio66332211,"@Aquahora1 @rodrigo85063105 to see, I think I have to correct you here. The ones who flee are always the embankbound every time you show them the lagoons of their model, they answer attacking. I've been suffering from 3 years, so I spend energy and time, and just like many more. The program is very implanted"
32,1.57021E+18,2022-09-15 00:30:16+00:00,Alego20_sc5,"Terraplanist tests

     vs.

Terraglobist tests.

🤷🏿‍♂️ https://t.co/dnns0gdj1b"
33,1.56981E+18,2022-09-13 22:20:03+00:00,asjas_j,"@Santiliebanar This pose is the one that puts anyone who reads me here on the Twitrs, which happens that you are interraglobist, you do not understand that this reptilian travels in time to piedrojisar and when we are all vaccinated with Nanobots will wake up and say:
-Toeeeeeeeedateeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"
34,1.56949E+18,2022-09-13 00:54:21+00:00,monicaguillen,"@JuanManuel5748 @jordplatt @alfarex89 @Areccomaria1122 ""You"" ... typical of totalitarian discriminators. So you divide humanity? You men, women, white, Russians, fat, ugly, autistic, communists, embankbound, etc ... pathetic. Think different is sin? Different from who? To you? To the system? 🤦🏽‍♀️"
35,1.56918E+18,2022-09-12 04:14:06+00:00,galpones_arg,What tenderness the embankments ... https://t.co/wz4ynxfyhh
36,1.56778E+18,2022-09-08 07:57:18+00:00,MiguelCaine,"I have just followed @Estoyvisando that I already believe everything I publish.

Terraglobistas: Children Deputa !!!"
37,1.56738E+18,2022-09-07 04:57:55+00:00,Jesus_Lens,"In which embolaos the embankbounds are put in, those defenders that the curve is beautiful, to try to convince us that the earth is round. For example, this of Magallanes and Elcano. What a weigh, the uncles! Hello. https://t.co/l6nlpsndvx"
38,1.56703E+18,2022-09-06 06:20:03+00:00,Argen_1816,The so appealed Coriolis effect by the Terraglobistas in half a minute is confirmed by Mother Nature. END. Https://t.co/vhqis6bxoy
39,1.56616E+18,2022-09-03 20:30:56+00:00,hidelgardoy,"@Endorfinacrew @franis61470479 @estoyavisando The Terraglobists always go and encounter with the same ridiculous everyone, deny their own eyes.

The sun does not make little:

The Sun: https://t.co/3r75ud7Ept"
40,1.56497E+18,2022-08-31 13:37:16+00:00,hidelgardoy,@Asoladoreichon1 @03xabi @estoyavisando The Terraglobistas and their spell experiments ... what follows later? The toilets turning backwards in Ecuador? LOL
41,1.56456E+18,2022-08-30 10:40:51+00:00,Nitrotoluen0,"@Daurmith @pes_Maravilla yes, yes, but explain that ...

Jaque mate, embankment!"
42,1.56362E+18,2022-08-27 19:58:28+00:00,Pearl36422772,@Pearl36422772's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
43,1.5635E+18,2022-08-27 12:12:08+00:00,galpones_arg,"@Flaviommxxii @argen_1816 because of the way the sun's rays fall, we realize that it is much closer than they want to make us believe, if they were as far as the embankbounds say the rays would arrive parallel."
44,1.56345E+18,2022-08-27 08:56:35+00:00,ProfesorSnape,"Gravity does not exist because brooms fly, cheat tank!"
